id,objectid,state,stcode,district,dtcode,shape_length,shape_area,ds_name,src_agency,state_name
473,473,OD,21,Nuapada,368,420945.8062481118,3718206449.17988,Administrative Boundary,Survey of India (SOI),Odisha
474,474,OD,21,Puri,369,488372.1079609719,3347605163.904658,Administrative Boundary,Survey of India (SOI),Odisha
475,475,OD,21,Rayagada,370,787829.6576180543,7105085471.124839,Administrative Boundary,Survey of India (SOI),Odisha
476,476,OD,21,Sambalpur,371,651832.2249661486,6331026785.01457,Administrative Boundary,Survey of India (SOI),Odisha
477,477,OD,21,Sonepur,372,339925.914563929,2278989132.843002,Administrative Boundary,Survey of India (SOI),Odisha
478,478,OD,21,Sundargarh,373,810573.2088001916,9377856581.202906,Administrative Boundary,Survey of India (SOI),Odisha
479,479,PB,03,Amritsar,027,374488.5252156428,2620704386.854923,Administrative Boundary,Survey of India (SOI),Punjab
480,480,PB,03,Bathinda,028,419007.0384510076,3291868958.3580265,Administrative Boundary,Survey of India (SOI),Punjab
481,481,PB,03,Faridkot,029,218865.68668982145,1438682980.8369806,Administrative Boundary,Survey of India (SOI),Punjab
482,482,PB,03,Fatehgarh Sahib,030,243490.36344831574,1125442037.1702032,Administrative Boundary,Survey of India (SOI),Punjab
483,483,PB,03,Ferozepur,031,302260.6429231562,1959696892.3285608,Administrative Boundary,Survey of India (SOI),Punjab
484,484,PB,03,Gurdaspur,032,326550.14954523236,2553272152.9983788,Administrative Boundary,Survey of India (SOI),Punjab
485,485,PB,03,Hoshiarpur,033,431263.44163156184,3311000173.3248854,Administrative Boundary,Survey of India (SOI),Punjab
486,486,PB,03,Jalandhar,034,457066.5323561471,2580254706.2614584,Administrative Boundary,Survey of India (SOI),Punjab
487,487,PB,03,Kapurthala,035,434652.35507903766,1594792027.5964017,Administrative Boundary,Survey of India (SOI),Punjab
488,488,PB,03,Ludhiana,036,396568.586089706,3600319199.3949375,Administrative Boundary,Survey of India (SOI),Punjab
489,489,PB,03,Mansa,037,341775.84573303367,2105404888.0499518,Administrative Boundary,Survey of India (SOI),Punjab
490,490,PB,03,Moga,038,295065.56785598124,2178531055.880183,Administrative Boundary,Survey of India (SOI),Punjab
491,491,PB,03,Sri Muktsar Sahib,039,353851.0839200666,2571034363.1380444,Administrative Boundary,Survey of India (SOI),Punjab
492,492,PB,03,Shahid Bhagat Singh Nagar,040,264327.43847899395,1234937264.0516744,Administrative Boundary,Survey of India (SOI),Punjab
493,493,PB,03,Patiala,041,625235.4070140574,3195898387.130927,Administrative Boundary,Survey of India (SOI),Punjab
494,494,PB,03,Rupnagar,042,330655.98564590485,1341985618.59195,Administrative Boundary,Survey of India (SOI),Punjab
495,495,PB,03,Sangrur,043,511354.1145468287,3507412322.389426,Administrative Boundary,Survey of India (SOI),Punjab
496,496,PB,03,Barnala,605,244303.67828931168,1387156284.2033877,Administrative Boundary,Survey of India (SOI),Punjab
497,497,PB,03,S.A.S Nagar,608,318086.06013926206,1078758863.231079,Administrative Boundary,Survey of India (SOI),Punjab
498,498,PB,03,Tarn Taran,609,312867.4424570691,2362464051.845207,Administrative Boundary,Survey of India (SOI),Punjab
499,499,PB,03,Fazilka,651,416599.44965366053,3153639393.346791,Administrative Boundary,Survey of India (SOI),Punjab
500,500,PB,03,Pathankot,662,245231.4166272999,934390976.8231102,Administrative Boundary,Survey of India (SOI),Punjab
