Dist_Name,avg_elevation,min_elevation,max_elevation,avg_rainfall_mm,max_rainfall_mm,avg_temp,min_temp,max_temp,avg_air_pressure,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration,State_Name
Amreli,0.0,0.0,0.0,2.378067484662577,154.6,27.709509202453987,10.2,45.7,1008.9348159509202,15.68483276196048,0.551647653,0.455725673,0.09592198,224.0,10.0,1650731.0,18.0,Gujarat
Amritsar,229.0,229.0,229.0,3.23245869776482,202.9,23.087002437043054,-1.0,47.5,1009.067365506329,16.326198333448385,2.592469047,0.034259992,2.558209055,117.0,21.0,2748187.0,7.0,Punjab
Amroha,,,,,,,,,,14.964340640710867,3.77465624,0.02670143,3.74795481,54.0,3.0,2208108.0,24.0,Uttar Pradesh
Anand,41.0,41.0,41.0,2.587239758226998,86.8,27.186165211551376,9.5,46.9,1008.5582269979852,14.750432819149474,5.640448142,0.236729361,5.403718781,42.0,1.0,2767476.0,22.0,Gujarat
Anantapur,,,,,,,,,,15.3202557247576,0.698641838,0.216018195,0.482623643,118.0,1.0,4537583.0,10.0,Andhra Pradesh
Anantnag,0.0,0.0,0.0,4.273829623944743,83.8,20.745280122793552,-7.6,42.8,1015.3233307751343,14.756466762456736,0.462302357,0.159500867,0.30280149,81.0,44.0,1290100.0,4.0,Jammu and Kashmir
Angul,137.0,137.0,137.0,3.5840832773673603,88.4,26.375285426460714,9.6,42.7,1008.1724647414372,,,,,,,,,Odisha
Anjaw,,,,,,,,,,10.331746414673855,1.599292296,0.251543379,1.347748917,5.0,1.0,24066.0,5.0,Arunachal Pradesh
Anugul,,,,,,,,,,12.81414308699189,1.964959616,1.692681852,0.272277764,24.0,0.0,1393181.0,34.0,Odisha
Anuppur,,,,,,,,,,9.990783932578736,0.69532992,0.16785608,0.52747384,2.0,0.0,902339.0,9.0,Madhya Pradesh
Araria,59.0,59.0,59.0,5.2948959032908,143.0,24.011282740094025,6.8,41.6,1008.3441235728676,16.139375553110227,6.399493143,0.0,6.399493143,162.0,0.0,3634320.0,23.0,Bihar
Aravalli,,,,,,,,,,13.53249300044823,1.017301706,0.334042991,0.683258715,39.0,1.0,1276998.0,24.0,Gujarat
Ariyalur,,,,,,,,,,13.089804218720658,2.450977499,0.08746038,2.363517119,23.0,4.0,772923.0,7.0,Tamil Nadu
Arwal,,,,,,,,,,14.60179082289652,22.2718737,0.595563792,21.67630991,85.0,0.0,591972.0,27.0,Bihar
Ashoknagar,,,,,,,,,,11.23645822753216,1.106305566,0.886532248,0.219773318,6.0,4.0,1071470.0,6.0,Madhya Pradesh
Auraiya,,,,,,,,,,14.613329857835854,6.808487542,0.145826885,6.662660657,46.0,1.0,1619128.0,24.0,Uttar Pradesh
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,18.255102457499184,2.741713494,0.192197924,2.54951557,301.0,46.0,3160597.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,18.09924752686318,2.741713494,0.192197924,2.54951557,301.0,46.0,3160597.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,16.453444018807634,2.741713494,0.192197924,2.54951557,301.0,46.0,3160597.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,16.29758908817163,2.741713494,0.192197924,2.54951557,301.0,46.0,3160597.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,18.255102457499184,0.75855332,0.771925606,0.013372286,301.0,46.0,3160597.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,18.09924752686318,0.75855332,0.771925606,0.013372286,301.0,46.0,3160597.0,13.0,Maharashtra
