SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
126,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,24-03-2026 06:00,-19.718
127,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,24-03-2026 12:00,-19.864
128,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,24-03-2026 18:00,-20.09
129,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,25-03-2026 00:00,-20.017
130,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,25-03-2026 06:00,-19.904
131,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,25-03-2026 12:00,-20.184
132,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,25-03-2026 18:00,-20.391
133,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,26-03-2026 00:00,-20.218
134,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,26-03-2026 06:00,-20.067
135,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,26-03-2026 12:00,-20.314
136,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,26-03-2026 18:00,-20.544
137,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,27-03-2026 00:00,-20.438
138,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,27-03-2026 06:00,-20.266
